position x; position y; time
7,626783;-3,51875;3,819997
7,793045;-3,617922;3,839997
7,908087;-3,692941;3,859997
7,975877;-3,739693;3,879997
8,13946;-3,857646;3,899997
8,172819;-3,884334;3,919997
8,368902;-4,048654;3,939997
8,492401;-3,918431;3,959997
8,566923;-3,833972;3,979997
8,727695;-3,653725;3,999997
8,763006;-3,614883;4,019997
8,925545;-3,387326;4,039997
9,044185;-3,258181;4,059997
9,121192;-3,17604;4,079997
9,279479;-3,009161;4,099997
9,317277;-2,970104;4,119997
9,514773;-2,767985;4,139997
9,516275;-2,766483;4,159997
9,712355;-2,571736;4,179997
9,867715;-2,426808;4,199997
9,91015;-2,390739;4,219997
10,10301;-2,234652;4,239997
10,10623;-2,232346;4,259997
10,30232;-2,097255;4,279997
10,45595;-2,00524;4,299997
10,49839;-1,983314;4,319997
10,69125;-1,891514;4,339997
10,69614;-1,889638;4,359997
10,8952;-1,819087;4,379997
11,04419;-1,77975;4,399997
11,0957;-1,770306;4,419997
11,27948;-1,744455;4,439997
11,29177;-1,743841;4,459997
11,48925;-1,740108;4,479997
11,63242;-1,750338;4,499997
11,68534;-1,758276;4,519997
11,86772;-1,793475;4,539997
11,88279;-1,797746;4,559997
12,07887;-1,859536;4,579997
12,22066;-1,917004;4,599997
12,27496;-1,943248;4,619997
12,45595;-2,038573;4,639997
12,47104;-2,047877;4,659997
12,66712;-2,175027;4,679996
12,80889;-2,279749;4,699996
12,80354;-2,302427;4,719996
12,79595;-2,385632;4,739996
12,79588;-2,393999;4,759996
12,79528;-2,509011;4,779996
12,79516;-2,603502;4,799996
12,79513;-2,645242;4,819996
12,79507;-2,787816;4,839996
12,79506;-2,802341;4,859996
12,79503;-2,982895;4,879996
12,79502;-3,12311;4,899996
12,79501;-3,188306;4,919996
12,79501;-3,385855;4,939996
12,79501;-3,382301;4,959996
12,795;-3,357293;4,979996
12,795;-3,351854;4,999996
12,795;-3,351153;5,019996
12,795;-3,349387;5,039996
12,795;-3,349231;5,059996
12,795;-3,347916;5,079996
12,795;-3,347246;5,099996
12,795;-3,347016;5,119996
12,795;-3,346437;5,139996
12,795;-3,346382;5,159996
12,795;-3,345953;5,179996
12,795;-3,345736;5,199996
12,795;-3,345657;5,219996
12,795;-3,345471;5,239996
12,795;-3,345452;5,259996
12,795;-3,345311;5,279996
12,795;-3,345241;5,299996
12,795;-3,345215;5,319996
12,795;-3,345154;5,339996
12,795;-3,345147;5,359996
12,795;-3,345101;5,379996
12,795;-3,345079;5,399996
12,795;-3,34507;5,419996
12,795;-3,345051;5,439996
12,795;-3,345048;5,459996
12,795;-3,345033;5,479996
12,795;-3,345026;5,499996
12,795;-3,345023;5,519996
12,795;-3,345017;5,539996
12,795;-3,345016;5,559996
12,795;-3,345011;5,579996
12,795;-3,345009;5,599996
12,795;-3,345007;5,619996
12,795;-3,345006;5,639996
12,795;-3,345005;5,659996
12,795;-3,345003;5,679996
12,795;-3,345003;5,699996
12,795;-3,345002;5,719995
12,795;-3,345002;5,739995
12,795;-3,345002;5,759995
12,795;-3,345001;5,779995
12,795;-3,345001;5,799995
12,88101;-3,345001;5,819995
13,0303;-3,345001;5,839995
13,0771;-3,345001;5,859995
13,26559;-3,345001;5,879995
13,27318;-3,345001;5,899995
13,47097;-3,345001;5,919995
13,61853;-3,345001;5,939995
13,66706;-3,345;5,959995
13,85383;-3,345001;5,979995
13,86313;-3,345001;5,999995
14,05403;-3,333513;6,019995
14,04744;-3,329834;6,039995
14,04641;-3,329834;6,059995
14,04501;-3,329834;6,079995
14,04501;-3,329834;6,099995
14,045;-3,329834;6,119995
14,045;-3,329834;6,139995
14,045;-3,329834;6,159995
14,045;-3,329834;6,179995
14,045;-3,329834;6,199995
14,045;-3,329834;6,219995
14,045;-3,329834;6,239995
14,045;-3,329834;6,259995
14,045;-3,329834;6,279995
14,045;-3,329834;6,299995
14,045;-3,329834;6,319995
14,045;-3,329834;6,339995
14,045;-3,329834;6,359995
14,045;-3,329834;6,379995
14,045;-3,329834;6,399995
14,045;-3,329834;6,419995
14,16265;-3,329834;6,439995
14,22741;-3,329834;6,459995
14,39794;-3,329834;6,479995
14,42454;-3,329834;6,499995
14,62469;-3,329834;6,519995
14,75088;-3,329834;6,539995
14,8243;-3,329834;6,559995
14,98618;-3,329834;6,579995
15,02415;-3,329834;6,599995
